favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,"Followed by Tom Molloy of TCD who says yes, an opportunity but they don't really have the money or resources to poach star researchers",JP_Biz,False,Thu Jun 08 11:06:24 +0000 2017,0,872771788324974592
2,Twitter for iPhone,DRD says it will cost almost £1.4m to repair roads damaged in the recent storms.,,False,Thu Feb 20 11:17:02 +0000 2014,3,436459476959641600
0,Twitter Web Client,On those thorny ECJ-type points he says 'These are not questions to which we have answers as of now. ',JP_Biz,False,Thu Apr 20 12:14:10 +0000 2017,0,855031838632542213
14,Twitter Web Client,Will have to go home as have been playing the 'No return to the borders of the past' drinking game during NIQs.,,False,Wed Oct 26 10:53:07 +0000 2016,2,791231175171932160
0,Twitter for iPhone,@collettasmith has the Danske results http://t.co/JojZsULu5p,collettasmith,False,Thu Aug 01 09:51:45 +0000 2013,1,362873277145808896
51,Twitter for iPhone,The EU say you’ll still be able to get the bus from Belfast to Dublin in event of no deal https://t.co/NzCvpeYCyr,,False,Wed Dec 19 13:50:40 +0000 2018,24,1075387943651553286
0,Twitter for iPhone,@DGordonhack who are they playing?,DGordonoldhack,False,Mon Nov 02 19:23:44 +0000 2015,0,661262433466638336
0,Twitter Web Client,Some Belfast lettings via @ChrisBCoStar - confirmed that Bel Tel going to Clarendon Dock; Liberty IT taking more space in Adelaide Exchange,,False,Fri Apr 29 14:16:34 +0000 2016,0,726052561652961281
1,Twitter Web Client,@ianpaisleymp who said it's bad?,,False,Wed Nov 22 13:11:17 +0000 2017,0,933321990831837184
0,Twitter Web Client,East Cork Crane Hire who had been working on a windfarm near Derrylin in Fermanagh have pulled out after getting a threat last night.,,False,Wed Apr 20 13:03:03 +0000 2016,1,722772568709734400
1,Twitter Web Client,@adrianhuston @IOMGovernment @duponline @LeaveMnsLeave that sounds expensive.,adrianhuston,False,Tue Oct 02 11:58:41 +0000 2018,0,1047093509516398594
0,Twitter Web Client,@MarkMagill1982 has there been any qualitative work on the barriers preventing that 'want to work' cohort becoming active?,MarkMagill1982,False,Wed Apr 18 10:44:27 +0000 2018,0,986556054438858752
4,Twitter for iPhone,This new BBC version of the Musketeers will have to be v special to surpass 'Dogtanian &amp; Three Muskehounds',,False,Sun Jan 19 17:59:49 +0000 2014,3,424964426010468352
1,Twitter Web Client,Also of note the research finds that personal circumstances have sharply differing impacts on inactivity rates for… https://t.co/nKFw1HD7sH,JP_Biz,False,Thu Oct 04 11:37:04 +0000 2018,0,1047812844350312451
6,Twitter Web Client,Boris's brother quits over Brexit https://t.co/ahYD3EbWvj,,False,Fri Nov 09 15:50:25 +0000 2018,5,1060922564917243905
0,Twitter for iPhone,@AllieRenison From the IT report https://t.co/zs1LHjtqyn,AllieRenison,False,Tue Sep 05 17:41:58 +0000 2017,1,905123854938451969
1,Twitter for iPhone,@Parisbob2001 @Campbell_Cormac help a brother out,Parisbob2001,False,Fri Oct 19 11:51:18 +0000 2018,0,1053252244278272000
1,Twitter for iPhone,@SymonRoss that would be a very direct communication.,SymonRoss,False,Wed Dec 16 14:30:21 +0000 2015,0,677133668863877120
0,Twitter for iPhone,"@Tomkite69 @casualgardener1 some version of 'Knightsbridge in d4' could still happen, I doubt the Bridgend strip mall will.",,False,Wed Apr 20 22:39:23 +0000 2016,0,722917607318269953
28,Twitter for iPad,Once again the big two make it to the rowing boat final on the TV? What is going wrong in other universities? Coaching? Lack of desire???,,False,Sun Apr 02 11:13:24 +0000 2017,9,848493561645604864
0,Twitter Web Client,"@CommonsEUexit Peter Hardwick, Head of Exports, at the Agriculture and Horticulture Development Board sees some roo… https://t.co/7NlC4WXRlm",JP_Biz,False,Tue Dec 05 10:36:39 +0000 2017,1,937994118768353280
1,Twitter for iPhone,@davidmurphyRTE no perfect solution to customs issue. Trade frictions will be introduced somewhere.,davidmurphyRTE,False,Sat Feb 18 15:02:53 +0000 2017,0,832968636230955009
1,Twitter Web Client,"Four Sam Morrison/ Corbo assets, including FairHill Centre in Ballymena, are for sale at £110m as the Olympic Portfolio reports @LisneyNI",,False,Wed May 06 17:59:17 +0000 2015,0,596011365963272192
1,Twitter for iPhone,"A really interesting &amp; informed new voice (to me, anyway) on the corporation tax debate is @peterdonaghy",,False,Tue Dec 30 18:33:59 +0000 2014,0,549996837529452544
1,Twitter Web Client,@paulcolgan How much is he expected to go for?,paulcolgan,False,Mon Apr 24 10:01:31 +0000 2017,0,856448006736031744
0,Twitter Web Client,Mick Wallace says FF have changed their mind on Commission of Investigation - wonders if a deal has been done with FG,,False,Wed Jun 29 15:43:51 +0000 2016,1,748180185393008640
2,Twitter Web Client,British Land now has full control of Lisnagelvin shopping centre in Derry having bought Tesco's 50% stake,,False,Fri Mar 20 10:44:38 +0000 2015,1,578869752774410240
0,Twitter for iPhone,Dept of Finance &amp; Personnel confirm a 'restricted redundancy scheme' for AA &amp; AO grades to open in November.,,False,Tue Aug 12 16:39:48 +0000 2014,3,499233804104785920
1,Twitter Web Client,Reports that Austins store in Derry was sold on Friday. The business was put into receivership by AIB on Wednesday. http://t.co/lQF6LCT4Xi,,False,Mon Nov 10 16:37:38 +0000 2014,1,531848163347660801
