favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
13,Twitter for Android,"@dmcbfs Aw now, don't be taking the pisa.",dmcbfs,False,Sun Jul 09 19:13:33 +0000 2017,0,884128407277236226
0,Twitter for Android,@kgorm83 Awful. But the man has some great one liners.,kgorm83,False,Thu Feb 16 22:37:08 +0000 2017,0,832358177932992516
1,Twitter Web Client,I'm live now with @aliciaclarke27 over on https://t.co/xVFy9lgPwu https://t.co/IZlDtYBpXP,,False,Tue Feb 28 12:17:44 +0000 2017,0,836550955856445440
0,Twitter for Android,@Seanofthesouth @dmcbfs @CiaranDunbar @TheSundayLife @ChrisHazzardSF Don't think so.,Seanofthesouth,False,Wed Jun 07 15:32:35 +0000 2017,0,872476389089439745
1,Twitter for Android,Could well top 10K tonight. Cavan have turned out in big numbers for their u21 finals in recent years. Interesting to see if TV factors.,,False,Sat Jan 24 18:04:05 +0000 2015,0,559049011450380288
3,Twitter for Android,"#BrexitVote reaction: @FSB_NI:
'No-deal is something which we simply cannot countenance.' https://t.co/oCY6DJSJiO",,False,Tue Jan 15 20:27:15 +0000 2019,3,1085272219104800768
0,Twitter Web Client,Concern for future of Omagh's much lauded ‘Street Angels’ project  https://t.co/tPl9ebUHyW,,False,Fri Dec 02 11:27:56 +0000 2016,0,804648291220815873
0,Twitter for Android,"3 men arrested, 7 vehicles and 3,000 litres of suspect fuel seized in joint PSNI/HMRC op targeting a Tyrone business premises last night.",,False,Thu Mar 20 16:30:38 +0000 2014,0,446685256398422016
0,Twitter for Android,@ConorSharkeySC @AlanJRodgers Convergence means they meet in the middle. Will be same for Strabane and Derry I imagine.,ConorSharkeySC,False,Thu Feb 12 23:38:27 +0000 2015,0,566018524645457920
1,Twitter for Android,Two very well drilled teams in Croker. Good end to end tough high pace game. Peter Harte helping Tyrone edge it so far. #AllianzLeagues,,False,Sun Apr 24 13:13:58 +0000 2016,0,724224865906110464
1,Twitter for Android Tablets,"@GalvinEarly Both I suppose.  The story is heartbreaking, but only one among thousands.",GalvinEarly,False,Sat Nov 15 23:31:21 +0000 2014,0,533764218139738112
0,Twitter for Android,Awesome display by Freemantle destroying reigning #AFL champions Sydney Swans. Great viewing. #AussieRules,,False,Sat Sep 21 10:45:00 +0000 2013,0,381368457151135744
0,Twitter for Android,@Glinner @RepStones The poor girl seems to be the one getting all the flack. God love her though. Mortified doesn't come close.,Glinner,False,Sun Aug 18 23:16:19 +0000 2013,0,369236346394529794
2,Twitter Web Client,"The UUP has selected Alicia Clarke as its West Tyrone #GE17 candidate. The 24yo stood in #AE17, taking 3,654 1st pref votes.",,False,Tue May 02 10:05:08 +0000 2017,1,859348019644379136
0,Twitter for Android,Irish Government to review funding withdrawal for A5 - Ulster Herald  http://t.co/jLKrX1Q2XP,,False,Tue Dec 09 14:48:33 +0000 2014,0,542329962184069120
0,TweetDeck,@casualgardener1 @lidl_ni But the  Bordeaux Superieur is still okay right!?!,casualgardener1,False,Tue Oct 18 09:22:58 +0000 2016,0,788309385953017856
1,Twitter for Android,"""... such a constrained investigation would not be desirable in the public interest and advised Justice Min of this decision in writing.""",,False,Thu Oct 30 08:43:59 +0000 2014,2,527742699311751168
3,Twitter for Android,A few photos from last night. #WTY15 #FST15 #GE2015 http://t.co/UkisOupTRz,,False,Fri May 08 11:08:31 +0000 2015,0,596632767410085888
0,Twitter for Android,Five candidates to compete for the three places on Sinn Fein's Fermanagh South Tyrone Assembly ticket in Enniskillen this evening.,,False,Sun Jan 31 16:24:33 +0000 2016,1,693832246705442816
0,Twitter for Android,"Sign is latest incident targeting migrant families in the area over several years. SF MLA has called it ""fascism"" http://t.co/KyoRaFWzf7",,False,Thu Jan 02 21:02:54 +0000 2014,0,418849906070396928
1,Twitter for Websites,Teenager told police local judge is ‘like Lady Muck’ - Ulster Herald http://t.co/9TUnXPZSP1,,False,Sun Oct 06 19:23:42 +0000 2013,1,386934809722773504
2,Twitter for Android,A senior Tory cabinet minister resigning over a female PM's handling of Europe... and England reached the World Cup… https://t.co/jfK2HCghQW,,False,Mon Jul 09 07:17:35 +0000 2018,0,1016219799154720769
0,Twitter for iPhone,"This incessant shushing before the placed kick in rugby... You're watching international sport in a stadium, you're not in a feckin library.",,False,Sat Nov 16 18:32:34 +0000 2013,1,401779845753208832
0,Twitter for Android,"@FergalMcFerran very admirable project, well presented. Engagement seems the core concept. IOS exclusivity undermines that. 2/2",FergalMcFerran,False,Sun Dec 18 19:29:35 +0000 2016,0,810567705166311425
0,Twitter for Android,Heading to Belfast this weekend to attend my first ever @FeileBelfast gig. @DamoDempsey #singallourcaresaway,,False,Thu Aug 08 10:14:38 +0000 2013,2,365415747989684224
1,Twitter for Android,An Omagh engineering firm has vacated a wind farm site near Carrickmore after threats from a gunman. Full story in today's Tyrone Herald.,,False,Mon Nov 09 10:13:44 +0000 2015,2,663660737697619970
1,Twitter Web Client,"""It's double the accounts, double warehousing, double sales staff, double everything."" - Belfast start-up behind gr… https://t.co/csv0zUSUZR",,False,Tue Feb 26 11:33:39 +0000 2019,5,1100358227861086208
0,Twitter for Android,@JakeOKane @StephenMcIlveen  Where you in for that gig too Jake?,JakeOKane,False,Wed Apr 23 18:22:09 +0000 2014,0,459034504653717504
48,Twitter for Android,"If they had sent their own reporter, they may have realised she nominated in Omagh, not Enniskillen.",RyanMcAleerbiz,False,Sat Jan 28 21:09:21 +0000 2017,5,825450715468410881
0,Twitter for Android,@paddymcauley Take a look at what Mid Ulster DC is doing in Tyrone with regard to tourism and compare it to FODC and DC&amp;SDC.,paddymcauley,False,Sun Dec 03 23:19:07 +0000 2017,0,937461224966643712
2,TweetDeck,We are live! And it's crowd's favourite @RusHammerMMA v @teruto_ko. A KO for Lobov would send this place (even more) mental. #UFCBelfast,,False,Sat Nov 19 21:11:24 +0000 2016,0,800084079777640448
2,TweetDeck,SoS Karen Bradley had been listed as a keynote speaker at tomorrow's Tech Nation industry event in Ormeau Baths. Or… https://t.co/0HiVdpf32o,,False,Wed Jul 25 16:06:28 +0000 2018,0,1022151102639362053
0,Twitter Web Client,Boost for Belfast workers after US orders for 120 A220 jets confirmed https://t.co/agI6UZNyxa,,False,Fri Jan 04 10:49:58 +0000 2019,1,1081140674915979265
2,Twitter for Android,Guns being jumped everywhere. https://t.co/VLu8kM6D44,,False,Wed Aug 19 22:09:27 +0000 2015,0,634125047783923712
0,Twitter for Android,It can't be a point if the ball goes through the blue line ie over the post. Hawkeye ruled correctly. #GAA,,False,Sun Sep 22 14:34:06 +0000 2013,1,381788502536749056
1,TweetDeck,A £636K upgrade at a Carrickmore school halts after landowner seeks cash for construction firm to use adjacent land https://t.co/s04hRteQwj,,False,Wed Mar 16 11:14:06 +0000 2016,2,710061577215594496
230,Twitter for Android,An emotional day as I leave the Herald office for the final time after 8 years (amid rolls of thunder overhead!). A… https://t.co/EgzTqy5LHp,,False,Fri Jun 01 16:18:08 +0000 2018,6,1002585096715669505
3,Twitter Web Client,"""We are a progressive party,"" - says Tom Buchanan of the DUP.
Comment of the night so far? #WTY17",,False,Tue May 30 20:09:10 +0000 2017,1,869646888034848768
0,Twitter for Websites,"Breaking: Cannabis factory worth £174,000 uncovered near Pomeroy - Ulster Herald http://t.co/JPFbPzCNIH",,False,Thu May 08 12:54:15 +0000 2014,1,464387807545286657
0,Twitter Web Client,One man has died following an overnight single vehicle crash on the A5 Doogary Rd outside Omagh. Four other men taken to hospital.,,False,Wed Sep 18 07:53:31 +0000 2013,0,380238141040230400
1,Twitter for Android,Tonight's a good night to be offline and reading a book.,,False,Tue Oct 20 22:25:19 +0000 2015,0,656597087346368512
0,Twitter for Android,@chrismcnulty86 I see. So when did the GAA drop 'national'?,chrismcnulty86,False,Mon Mar 07 10:03:43 +0000 2016,0,706782372113608705
8,Twitter for Android,"To put those figures into context, the A4 was once synonymous with death. The new dual carriageway makes it one of the safest in the country",RyanMcAleerbiz,False,Thu Aug 04 17:57:31 +0000 2016,1,761259788131004416
0,Twitter for Android,@RepStones They get away with too much in Tyrone.,RepStones,False,Thu Mar 07 21:27:47 +0000 2019,0,1103769235296272384
1,Twitter for Android,Clinton camp's turn. #USElection #PresidentialElection https://t.co/sBNFzu3eEn,,False,Fri Oct 28 20:50:39 +0000 2016,1,792106324855324672
0,TweetDeck,"Former Minister for Security and Immigration James Brokenshire next in, with NI SoS seat still empty.",,False,Thu Jul 14 14:29:11 +0000 2016,0,753597212563734528
0,Twitter for Android,FST MP @telliott_UUP to present his @BCNI2018 counter proposals later. SF won't be making any oral submissions today.,RyanMcAleerbiz,False,Tue Oct 11 10:30:51 +0000 2016,0,785789753430007808
0,Twitter for Android,Terex employee dies in hospital after workplace incident on Thursday - https://t.co/DR1Nx8GSjb https://t.co/EYumcEGQE3,,False,Sun Jul 17 09:31:49 +0000 2016,2,754609540319109120
30,Twitter Web Client,"Sinn Fein won't support the nomination of Leo Varadkar as Taoiseach. Speaking in the Dáil, @GerryAdamsSF calls for a General Election.",,False,Wed Jun 14 11:46:01 +0000 2017,23,874956088059338753
2,Twitter Web Client,Table 1 shows hrs boilers ran in 2016-17 by non-dom #RHI recipients who applied before controls. 2nd shows hrs afte… https://t.co/IXwiv5R7sE,RyanMcAleerbiz,False,Fri Jun 30 09:28:27 +0000 2017,3,880719670327824384
1,Twitter for Android,Mayo starting to sort the defence. Now if they'd abandon the long ball into a lone Aidan O'Shea they could win this handy enough.,,False,Sat Sep 05 17:17:04 +0000 2015,0,640212059574112256
1,Twitter Web Client,"Focus of security alert in Omagh, @StruleArts Centre was preparing to welcome dozens of young children for a family entertainment show today",,False,Sat Oct 17 10:23:48 +0000 2015,5,655328348214841345
