favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,Natural @brendanbelfast @ClaireHanna :),,False,Wed Sep 14 22:28:55 +0000 2016,0,776185989261889540
0,Twitter for Android,@WillLeitch @clairemillar85 It's time for Android perhaps :),WillLeitch,False,Thu Sep 18 19:50:32 +0000 2014,0,512690151164637185
1,Twitter for Android,@StephenStitt @Wattie187 Good stuff,StephenStitt,False,Sat Jun 03 14:27:36 +0000 2017,0,871010483414892544
0,Twitter Web Client,"Sinn Fein's Energy spokesperson, Cathal Boylan has called on AES to lift the threat of closure of the Kilroot plant… https://t.co/C7cX567sna",,False,Fri Jan 26 16:57:36 +0000 2018,1,956934154578427904
0,Twitter for Android,@CBI_NI All good :),CBI_NI,False,Wed Nov 18 10:29:08 +0000 2015,0,666926104175882240
2,Twitter Web Client,Review of APD and VAT (tourism) welcomed by @HospUlster,,False,Mon Jun 26 11:25:34 +0000 2017,1,879299594567520256
2,Twitter for iPhone,@belfastgary it certainly needs it. As does Shaftsbury,belfastgary,False,Wed Jul 06 19:14:13 +0000 2016,0,750769842999947264
0,Twitter Web Client,"@MargaretCan @Dwelliott @JohnCharlesLave Luckily, there was no rain to dampen spirits...",MargaretCan,False,Tue Apr 01 19:15:24 +0000 2014,0,451075372621500416
0,Twitter for Android,@belfast_dad I'm bringing out the bacon joint again http://t.co/WgZaF3gmid,belfast_dad,False,Sat Jan 25 17:40:23 +0000 2014,0,427133864856023040
1,Twitter for iPhone,"@TheGazzz @RachelBloomers last time I saw it, it was as low as £60",TheGazzz,False,Fri May 20 23:15:09 +0000 2016,0,733798244262785025
1,Twitter for iPhone,'@Ryanair Michael O'Leary says he was told by Department of Finance it has 'no money' #CBI https://t.co/dc30nkn4Cv,,False,Tue Sep 20 11:50:35 +0000 2016,0,778199674662621184
0,Twitter for Android,@stab8790 @beerclubbelfast @mattbrews @michaelkerrNI @GaryMaxwell1 @belfastbarman @AntoKerr Shite this week. Going straight home :),stab8790,False,Mon Mar 24 19:44:10 +0000 2014,0,448183511837835265
5,Twitter for iPhone,**Double Westmin-ister klaxon** @StephenNolan,,False,Wed Feb 22 22:49:06 +0000 2017,1,834535515760259073
0,Twitter for Android,@ClaireCromie @marblebrewers Not on sale here. Yet.,ClaireCromie,False,Thu May 29 21:01:04 +0000 2014,0,472120461695148033
2,Twitter for iPhone,There's a small Casio keyboard on the stage at Ulster Hall for David O'Doherty. There may be some Shakira this eve https://t.co/0nJ7BQBsuE,,False,Sat Feb 06 19:47:48 +0000 2016,0,696057726426865665
2,Twitter for Android,"Do not miss the new, upgraded, bells and whistles @beerclubbelfast at @Sunflower_Pub Wed 24th September",,False,Thu Sep 11 18:55:21 +0000 2014,3,510139551311224832
0,Twitter for iPhone,@michaelkerrNI no. Building is listed so wouldn't be an option. Retention and extension,michaelkerrNI,False,Tue Jul 26 18:24:24 +0000 2016,0,758005063340191744
23,Twitter for Android,Like cheese and good bread? Get down to @fancycheeseco new Belfast shop at Little Donegall Street https://t.co/cj3YSuXVf0,,False,Fri Dec 07 08:58:26 +0000 2018,5,1070965747944443906
0,Twitter Web Client,@xfirefishx I wouldn't buy pre-made burgers :),xfirefishx,False,Fri Jan 26 15:55:21 +0000 2018,0,956918492338573312
0,Twitter for iPhone,@ConorS I have no idea 😬,ConorS,False,Thu Sep 21 08:57:40 +0000 2017,0,910790119048859648
0,Twitter for iPhone,I want to eat in @Faviken so much it hurts. Just looks breathtaking,,False,Wed Apr 13 22:21:35 +0000 2016,0,720376411794575360
0,Twitter Web Client,@MartinMcAuley I was terrified in the first room of great Irish writers...,MartinMcAuley,False,Sun Jan 19 19:52:14 +0000 2014,0,424992719014854656
0,Twitter for Android,@Jackthejourno @iainshenderson I've got it coming out of my taps. Really? I'm joking. Great.,,False,Sat Feb 01 19:41:08 +0000 2014,0,429700966674624512
11,Twitter for Android,"And, it's finally here! @boundarybrewing @beerclubbelfast @Sunflower_Pub http://t.co/oZybMsPMTo",,False,Wed Apr 22 18:24:24 +0000 2015,6,590944254945427456
